"teacher" "time" "proximity" "gender" "d1" "d2" "d3" "d4"
"1" 1 0 0.41 1 1 0 0 0
"2" 1 1 1.05 1 0 1 0 0
"3" 1 3 0.91 1 0 0 0 1
"4" 2 0 0.64 0 1 0 0 0
"5" 3 0 1.13 1 1 0 0 0
"6" 3 2 1.35 1 0 0 1 0
"7" 4 1 -0.4 0 0 1 0 0
"8" 4 2 0.27 0 0 0 1 0
"9" 4 3 0.26 0 0 0 0 1
"10" 5 0 1.02 1 1 0 0 0
"11" 5 1 0.87 1 0 1 0 0
"12" 5 2 0.98 1 0 0 1 0
"13" 5 3 0.97 1 0 0 0 1
"14" 6 0 0.22 1 1 0 0 0
"15" 6 1 0.29 1 0 1 0 0
"16" 6 2 0.83 1 0 0 1 0
"17" 6 3 0.54 1 0 0 0 1
"18" 7 2 0.33 1 0 0 1 0
"19" 7 3 0.68 1 0 0 0 1
"20" 8 0 0.81 0 1 0 0 0
"21" 8 1 0.77 0 0 1 0 0
"22" 8 2 0.88 0 0 0 1 0
"23" 8 3 0.88 0 0 0 0 1
"24" 9 0 0.32 0 1 0 0 0
"25" 9 1 0.83 0 0 1 0 0
"26" 9 2 0.01 0 0 0 1 0
"27" 9 3 0.2 0 0 0 0 1
"28" 10 0 0.12 0 1 0 0 0
"29" 10 1 -0.13 0 0 1 0 0
"30" 10 2 0.2 0 0 0 1 0
"31" 10 3 0.31 0 0 0 0 1
"32" 11 0 1.11 0 1 0 0 0
"33" 11 1 0.78 0 0 1 0 0
"34" 11 2 0.83 0 0 0 1 0
"35" 12 0 -0.62 0 1 0 0 0
"36" 12 1 -0.36 0 0 1 0 0
"37" 12 2 0.24 0 0 0 1 0
"38" 13 0 -0.46 0 1 0 0 0
"39" 13 1 0.33 0 0 1 0 0
"40" 13 2 0.22 0 0 0 1 0
"41" 13 3 0.43 0 0 0 0 1
"42" 14 0 0.62 0 1 0 0 0
"43" 14 1 0.4 0 0 1 0 0
"44" 14 2 0.18 0 0 0 1 0
"45" 14 3 0.16 0 0 0 0 1
"46" 15 0 -0.52 1 1 0 0 0
"47" 15 1 0.76 1 0 1 0 0
"48" 15 2 0.82 1 0 0 1 0
"49" 16 0 -0.91 1 1 0 0 0
"50" 16 2 -0.1 1 0 0 1 0
"51" 17 0 0.41 0 1 0 0 0
"52" 17 1 0.15 0 0 1 0 0
"53" 17 3 0.22 0 0 0 0 1
"54" 18 0 -0.26 0 1 0 0 0
"55" 18 1 0.5 0 0 1 0 0
"56" 18 2 0.43 0 0 0 1 0
"57" 19 0 1.21 0 1 0 0 0
"58" 19 1 0.48 0 0 1 0 0
"59" 19 2 0.62 0 0 0 1 0
"60" 20 0 0.94 0 1 0 0 0
"61" 20 1 1.01 0 0 1 0 0
"62" 20 2 0.73 0 0 0 1 0
"63" 20 3 1 0 0 0 0 1
"64" 21 0 0.3 0 1 0 0 0
"65" 21 1 0.85 0 0 1 0 0
"66" 21 2 0.59 0 0 0 1 0
"67" 21 3 0.74 0 0 0 0 1
"68" 22 0 0.38 0 1 0 0 0
"69" 22 1 0.8 0 0 1 0 0
"70" 22 2 0.8 0 0 0 1 0
"71" 22 3 0.93 0 0 0 0 1
"72" 23 0 0.59 0 1 0 0 0
"73" 23 1 0.8 0 0 1 0 0
"74" 23 2 0.64 0 0 0 1 0
"75" 23 3 0.51 0 0 0 0 1
"76" 24 0 0.7 1 1 0 0 0
"77" 24 1 1.22 1 0 1 0 0
"78" 25 0 0.17 0 1 0 0 0
"79" 25 1 0.82 0 0 1 0 0
"80" 25 2 0.58 0 0 0 1 0
"81" 25 3 0.7 0 0 0 0 1
"82" 26 1 1.1 0 0 1 0 0
"83" 26 2 0.97 0 0 0 1 0
"84" 26 3 1.06 0 0 0 0 1
"85" 27 0 1.41 0 1 0 0 0
"86" 27 1 1.4 0 0 1 0 0
"87" 27 2 0.48 0 0 0 1 0
"88" 28 0 0.9 1 1 0 0 0
"89" 28 1 0.98 1 0 1 0 0
"90" 28 2 0.84 1 0 0 1 0
"91" 28 3 0.79 1 0 0 0 1
"92" 29 0 0.67 0 1 0 0 0
"93" 29 1 1 0 0 1 0 0
"94" 29 2 0.98 0 0 0 1 0
"95" 30 0 0.69 0 1 0 0 0
"96" 30 3 0.3 0 0 0 0 1
"97" 31 1 1.02 0 0 1 0 0
"98" 31 2 0.82 0 0 0 1 0
"99" 31 3 1.07 0 0 0 0 1
"100" 32 0 1.21 0 1 0 0 0
"101" 32 1 0.89 0 0 1 0 0
"102" 33 0 1.17 0 1 0 0 0
"103" 33 1 1.15 0 0 1 0 0
"104" 33 3 0.28 0 0 0 0 1
"105" 34 0 1.04 0 1 0 0 0
"106" 34 1 0.85 0 0 1 0 0
"107" 34 3 0.56 0 0 0 0 1
"108" 35 0 1.22 0 1 0 0 0
"109" 35 2 1.14 0 0 0 1 0
"110" 36 0 0.63 0 1 0 0 0
"111" 36 1 0.99 0 0 1 0 0
"112" 37 0 0.99 0 1 0 0 0
"113" 37 1 0.71 0 0 1 0 0
"114" 37 3 0.99 0 0 0 0 1
"115" 38 0 0.51 1 1 0 0 0
"116" 38 2 0.59 1 0 0 1 0
"117" 38 3 0.33 1 0 0 0 1
"118" 39 0 -0.02 0 1 0 0 0
"119" 39 1 0.3 0 0 1 0 0
"120" 39 2 0.63 0 0 0 1 0
"121" 39 3 0.11 0 0 0 0 1
"122" 40 0 0.36 1 1 0 0 0
"123" 40 3 0.28 1 0 0 0 1
"124" 41 0 0.37 0 1 0 0 0
"125" 41 2 0.21 0 0 0 1 0
"126" 41 3 0.03 0 0 0 0 1
"127" 42 0 0.86 0 1 0 0 0
"128" 42 1 0.77 0 0 1 0 0
"129" 42 3 1.01 0 0 0 0 1
"130" 43 0 0.23 0 1 0 0 0
"131" 43 1 0.44 0 0 1 0 0
"132" 43 2 0.06 0 0 0 1 0
"133" 44 0 1.02 0 1 0 0 0
"134" 44 2 0.78 0 0 0 1 0
"135" 44 3 1 0 0 0 0 1
"136" 45 3 0.68 0 0 0 0 1
"137" 46 0 0.92 0 1 0 0 0
"138" 46 2 0.97 0 0 0 1 0
"139" 46 3 0.91 0 0 0 0 1
"140" 47 0 0.73 1 1 0 0 0
"141" 48 0 0.63 1 1 0 0 0
"142" 48 1 0.62 1 0 1 0 0
"143" 48 2 0.62 1 0 0 1 0
"144" 48 3 0.55 1 0 0 0 1
"145" 49 0 0.66 0 1 0 0 0
"146" 49 1 0.96 0 0 1 0 0
"147" 49 2 0.94 0 0 0 1 0
"148" 50 0 0.92 1 1 0 0 0
"149" 50 1 0.91 1 0 1 0 0
"150" 50 2 0.92 1 0 0 1 0
"151" 51 0 1.53 0 1 0 0 0
"152" 51 1 1.6 0 0 1 0 0
"153" 51 2 1.44 0 0 0 1 0
