"CASE" "YEAR" "AGE" "EVNO" "SUPR" "HRS" "NOEM" "SEX1" "TU" "PROM" "SC80"
"1" 4 78 16 1 2 7 "2" 1 0 2 "32"
"2" 4 82 20 4 2 7 "3" 3 0 2 "32"
"3" 4 83 21 5 2 9 "3" 3 0 2 "31"
"4" 4 85 23 9 2 7 "2" 1 0 2 "40"
"5" 8 82 17 2 2 5 "2" 2 1 2 "31"
"6" 8 85 20 4 2 4 "3" 1 0 2 "50"
"7" 16 76 16 2 2 6 "2" 2 0 1 "40"
"8" 16 77 17 3 2 6 "4" 1 1 2 "50"
"9" 16 79 19 4 2 6 "3" 1 0 1 "32"
"10" 17 71 16 1 2 7 "2" 1 0 1 "40"
"11" 17 72 17 2 2 6 "3" 1 1 1 "50"
"12" 17 79 24 3 2 9 "3" 1 1 1 "40"
"13" 17 80 25 4 2 9 "2" 1 1 2 "32"
"14" 17 80 25 5 2 9 "2" 1 1 2 "32"
"15" 17 83 28 7 2 6 "4" 1 1 1 "32"
"16" 18 63 15 1 2 6 "4" 1 0 1 "31"
"17" 18 68 20 4 2 6 "4" 3 0 1 "31"
"18" 18 70 22 5 1 6 "4" 3 1 1 "20"
"19" 18 72 24 6 1 6 "4" 3 1 1 "10"
"20" 18 73 25 7 1 6 "4" 3 1 1 "10"
"21" 18 77 29 8 1 6 "5" 1 1 1 "10"
"22" 18 79 31 9 1 6 "5" 1 1 1 "10"
"23" 18 81 33 10 1 6 "5" 1 1 1 "31"
"24" 20 64 15 1 2 7 "4" 1 0 1 "32"
"25" 20 68 19 2 2 7 "4" 3 0 2 "40"
"26" 20 72 23 3 2 7 "4" 1 0 1 "40"
"27" 20 74 25 4 1 6 "4" 1 1 1 "20"
"28" 21 42 15 1 2 7 "5" 1 0 2 "40"
"29" 21 42 15 2 2 7 "5" 2 0 2 "40"
"30" 21 43 16 3 2 7 "5" 3 0 2 "40"
"31" 21 48 21 7 2 7 "5" 3 0 2 "32"
"32" 21 48 21 8 2 7 "5" 1 1 2 "32"
"33" 21 49 22 9 2 7 "3" 1 1 2 "32"
"34" 21 50 23 10 2 7 "5" 3 1 2 "32"
"35" 21 50 23 11 8 7 "5" 1 1 2 "32"
"36" 21 51 24 12 2 7 "4" 1 1 1 "32"
"37" 21 56 29 13 1 7 "4" 1 1 1 "20"
"38" 21 60 33 14 1 7 "4" 1 1 1 "31"
"39" 21 63 36 15 1 6 "4" 1 1 1 "31"
"40" 21 65 38 16 1 6 "4" 1 0 1 "31"
"41" 21 71 44 17 1 6 "4" 1 0 1 "31"
"42" 26 53 15 1 2 7 "2" 1 0 2 "40"
"43" 26 54 16 2 2 7 "5" 3 0 1 "32"
"44" 26 58 20 4 2 7 "5" 3 0 1 "32"
"45" 26 61 23 6 1 6 "5" 3 0 1 "32"
"46" 26 62 24 7 1 6 "5" 3 0 1 "32"
"47" 26 62 24 8 1 6 "5" 3 0 1 "31"
"48" 26 66 28 9 1 6 "5" 3 0 1 "20"
"49" 26 67 29 10 1 6 "5" 3 0 1 "20"
